env;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
E0137;23.73;26.42;20.37;942.00;251.00;6.00;118.89;664.00;21.00;256.00;24.00;11.46;57.87;242.87;33.20;13.40;19.80;25.07;20.55
E0138;22.60;25.33;18.97;1061.00;244.00;15.00;92.59;633.00;57.00;281.00;88.00;11.13;56.80;261.09;31.90;12.30;19.60;24.47;19.22
E0139;20.33;22.92;16.95;835.00;224.00;0.00;123.63;595.00;1.00;236.00;3.00;12.09;58.41;238.98;29.70;9.00;20.70;21.82;18.40
E0140;21.07;23.80;17.53;846.00;207.00;0.00;121.17;595.00;2.00;250.00;2.00;12.38;57.56;251.60;30.90;9.40;21.50;22.57;17.53
E0141;26.43;28.27;24.67;1269.00;192.00;6.00;65.51;501.00;44.00;244.00;460.00;9.08;66.73;139.68;34.30;20.70;13.60;25.75;27.20
E0142;26.71;30.22;23.08;792.00;270.00;0.00;138.05;605.00;0.00;169.00;0.00;13.29;56.08;290.45;38.00;14.30;23.70;26.45;23.13
E0143;29.31;33.17;25.55;352.00;128.00;0.00;144.42;289.00;0.00;50.00;0.00;15.70;57.09;301.05;42.10;14.60;27.50;28.83;27.30
E0144;17.12;19.22;14.05;1030.00;206.00;1.00;101.08;587.00;4.00;304.00;4.00;13.13;63.14;213.09;26.60;5.80;20.80;18.50;14.05
E0145;21.60;23.52;19.25;1805.00;417.00;7.00;89.01;944.00;36.00;335.00;105.00;10.59;64.58;168.04;29.70;13.30;16.40;21.50;21.78
E0146;23.46;24.40;22.43;1660.00;302.00;26.00;62.71;665.00;106.00;382.00;424.00;7.93;76.94;78.40;29.20;18.90;10.30;23.07;24.02
E0147;23.51;25.32;22.25;1987.00;340.00;9.00;73.77;940.00;43.00;297.00;940.00;10.28;61.16;134.40;32.40;15.60;16.80;22.25;24.02
E0148;28.16;30.97;26.10;948.00;236.00;0.00;104.32;595.00;4.00;159.00;595.00;12.48;63.33;196.11;38.30;18.60;19.70;26.10;27.68
E0149;20.51;21.33;19.65;1708.00;255.00;54.00;43.08;659.00;202.00;268.00;451.00;12.44;82.94;68.03;28.50;13.50;15.00;20.45;21.05
E0150;22.27;24.07;20.17;716.00;128.00;9.00;76.01;297.00;37.00;172.00;37.00;10.64;68.22;161.48;30.40;14.80;15.60;23.15;20.17
E0151;19.89;20.92;18.35;1100.00;277.00;15.00;92.40;566.00;51.00;422.00;59.00;11.62;76.43;112.11;28.20;13.00;15.20;20.65;18.57
